Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0022615~protein to membrane docking	3	0.006665037435293595	0.001754872553630462	PEX16, SNX3, RAB7A	292	4	16792	43.130136986301366	0.9044710287434914	1.0	1.0
UP_SEQ_FEATURE	nucleotide phosphate-binding region:GTP	14	0.03110350803137011	0.00249774452024501	RASL10B, EEF1A1P9, SEPT1, EEF1A1, SEPT9, TUBB2B, RAB30, RAB41, RAB40B, RAB20, RAB26, RHEB, RABL6, RAB7A	340	310	20063	2.6649146110056927	0.9299414417796923	1.0	1.0
INTERPRO	IPR001806:Small GTPase superfamily	9	0.019995112305880785	0.002918704163922402	RAB30, RAB41, RAB40B, RAB20, RHEB, RASL10B, RAB26, RABL6, RAB7A	322	139	18559	3.7318691630546494	0.8680879040169273	1.0	1.0
UP_KEYWORDS	Non-syndromic deafness	7	0.015551754015685055	0.003198471773646984	TMIE, KARS, TMPRSS3, CDH23, OTOF, CCDC50, SLC26A5	341	87	20581	4.8561364479050795	0.643549000475735	1.0	1.0
GOTERM_MF_DIRECT	GO:0003713~transcription coactivator activity	12	0.02666014974117438	0.004135425098593848	ASXL1, SETD3, PRPF6, ZEB1, USP16, RBPMS, DYRK1B, PCBD1, JUNB, LPIN2, TAF5L, TAF1	294	248	16881	2.778308097432521	0.8513617568761039	1.0	1.0
INTERPRO	IPR002515:Zinc finger, C2HC-type	3	0.006665037435293595	0.0042724778893301904	MYT1L, KAT7, L3MBTL4	322	6	18559	28.81832298136646	0.9485513103411372	1.0	1.0
UP_SEQ_FEATURE	short sequence motif:Effector region	7	0.015551754015685055	0.007368298572023332	RAB30, RAB41, RAB20, RHEB, RASL10B, RAB26, RAB7A	340	101	20063	4.0897204426324985	0.9996147045137641	1.0	1.0
UP_KEYWORDS	Chromosomal rearrangement	13	0.028881828886272245	0.00995990475700859	USP16, UBE2QL1, MLLT1, KLHDC8B, SNX3, SEPT9, HIST2H4B, GOLGA5, BCL3, MYH11, WHSC1, SSX1, GAS7	341	334	20581	2.34914042881978	0.9601712923861234	1.0	1.0
UP_SEQ_FEATURE	lipid moiety-binding region:S-geranylgeranyl cysteine	7	0.015551754015685055	0.010093577031957505	RAB30, RAB41, RAB40B, RAB20, RASL10B, RAB26, RAB7A	340	108	20063	3.824645969498911	0.9999792712496964	1.0	1.0
UP_SEQ_FEATURE	metal ion-binding site:Manganese 1	4	0.00888671658039146	0.010357227181616333	PPM1A, PHLPP1, XPNPEP2, XPNPEP3	340	27	20063	8.742047930283224	0.9999843829049515	1.0	1.0
UP_SEQ_FEATURE	metal ion-binding site:Manganese 2	4	0.00888671658039146	0.010357227181616333	PPM1A, PHLPP1, XPNPEP2, XPNPEP3	340	27	20063	8.742047930283224	0.9999843829049515	1.0	1.0
