Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	15	0.036227508754981284	0.0025709223774567184	MAP2K1, MAP3K1, ROCK1, MAST4, MAST3, PLK2, ILK, TTN, BCKDK, STK11, SLK, MYO3A, RIPK1, PRKCQ, CPNE3	266	376	16881	2.53174492081267	0.6546366324036703	1.0	1.0
BIOCARTA	h_ceramidePathway:Ceramide Signaling Pathway	4	0.009660669001328342	0.005107234301586336	MAP2K1, MAP3K1, CASP8, RIPK1	28	22	1625	10.55194805194805	0.403784083007533	0.3604890694425882	0.35335067202788345
BIOCARTA	h_keratinocytePathway:Keratinocyte Differentiation	5	0.012075836251660426	0.007138397414704716	MAP2K1, MAP3K1, RIPK1, PRKCQ, TNFRSF1B	28	48	1625	6.045386904761905	0.5149793275251234	0.3604890694425882	0.35335067202788345
KEGG_PATHWAY	hsa04320:Dorso-ventral axis formation	4	0.009660669001328342	0.009475053193947577	MAP2K1, NOTCH4, SPIRE2, SOS1	114	27	6879	8.939571150097466	0.8437728563887515	1.0	1.0
UP_KEYWORDS	Triplet repeat expansion	4	0.009660669001328342	0.010804457753560573	RAI1, PABPN1, NOTCH4, FXN	318	30	20581	8.629350104821803	0.9619874222330628	1.0	1.0
BIOCARTA	h_soddPathway:SODD/TNFR1 Signaling Pathway	3	0.007245501750996256	0.011024384012985281	CASP8, RIPK1, TNFRSF1B	28	10	1625	17.410714285714285	0.673604646391555	0.3711542617705044	0.3638046724285143
KEGG_PATHWAY	hsa04122:Sulfur relay system	3	0.007245501750996256	0.011043316511695166	MPST, MOCS3, URM1	114	10	6879	18.102631578947367	0.8852988913501737	1.0	1.0
GOTERM_BP_DIRECT	GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	3	0.007245501750996256	0.01640462940570748	CASP8, TNFSF10, RIPK1	259	13	16792	14.96168696168696	0.9999999998716821	1.0	1.0
BIOCARTA	h_bcrPathway:BCR Signaling Pathway	4	0.009660669001328342	0.01737492332247692	PPP3CA, MAP2K1, MAP3K1, SOS1	28	34	1625	6.8277310924369745	0.8297166598057379	0.43871681389254225	0.4300293522313038
UP_KEYWORDS	Serine/threonine-protein kinase	13	0.03139717425431711	0.019348591499993663	MAP2K1, MAP3K1, ROCK1, MAST4, MAST3, PLK2, ILK, TTN, STK11, SLK, MYO3A, RIPK1, PRKCQ	318	393	20581	2.1408693008145696	0.9972080245876885	1.0	1.0
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	6	0.014491003501992512	0.020558412657933595	PPP3CA, CCNH, PLK2, MCM5, SKP2, CACUL1	259	102	16792	3.8137633431751077	0.9999999999996221	1.0	1.0
GOTERM_BP_DIRECT	GO:0048704~embryonic skeletal system morphogenesis	4	0.009660669001328342	0.021811633354445137	EYA1, FUZ, HOXB1, HOXA5	259	39	16792	6.64963864963865	0.9999999999999352	1.0	1.0
UP_SEQ_FEATURE	zinc finger region:C2H2-type 6	15	0.036227508754981284	0.022356882678187872	ZNF771, ZNF461, ZNF195, ZNF250, ZNF628, ZNF417, ZNF614, ZNF525, ZNF800, ZNF404, ZNF777, ZNF335, ZFP28, ZNF189, ZNF662	307	501	20063	1.956640464998342	0.999999999999924	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	34	0.0821156865112909	0.02360552374430691	ZNF771, ZNF891, ZNF195, ZNF250, NOTCH4, SRRT, CHD3, ZNF876P, ZNF628, MIER2, SOX15, ZNF525, ZNF800, ZNF404, PTRF, TEAD2, ZNF189, ZNF662, RNF44, ZNF461, NKX6-2, EYA1, VDR, HSFX2, PNRC2, MED28, ZNF417, ZNF614, ZNF777, PRKCQ, HOXB1, ZNF335, AJUBA, ZFP28	259	1504	16792	1.4656617103425613	0.9999999999999948	1.0	1.0
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	6	0.014491003501992512	0.023988564830172227	PPP3CA, MAP2K1, LCP2, PRKCQ, SOS1, RASGRP1	114	100	6879	3.620526315789473	0.9912157099426094	1.0	1.0
GOTERM_BP_DIRECT	GO:0097194~execution phase of apoptosis	3	0.007245501750996256	0.024487431773714836	CECR2, CASP8, BBC3	259	16	16792	12.156370656370656	0.9999999999999986	1.0	1.0
